titre,annee,realisateur,note_presse,note_spectateurs,url
Voyage au bout de l'enfer de Michael Cimino,1978,Michael Cimino,4.7,4.4,https://www.allocine.fr/film/fichefilm_gen_cfilm=29714.html
Million Dollar Baby de Clint Eastwood,2004,Clint Eastwood,4.9,4.4,https://www.allocine.fr/film/fichefilm_gen_cfilm=56714.html
Star Wars : Episode VI - Le Retour du Jedi de Richard Marquand,1983,Richard Marquand,3.0,4.4,https://www.allocine.fr/film/fichefilm_gen_cfilm=25803.html
Les Contes de la lune vague après la pluie de Kenji Mizoguchi,1953,Kenji Mizoguchi,5.0,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=83145.html
Les Misérables - Une tempête sous un crâne de Raymond Bernard,1933,Raymond Bernard,5.0,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=141858.html
L'Armée des Ombres de Jean-Pierre Melville,1969,Jean-Pierre Melville,4.5,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=4248.html
Les Rapaces de Erich Von Stroheim,1924,Erich Von Stroheim,5.0,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=4172.html
Baby Cart la saga de Kenji Misumi,2005,Kenji Misumi,4.5,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=108503.html
La passion de Jeanne d'Arc de Carl Theodor Dreyer,1928,Carl Theodor Dreyer,4.8,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=264.html
Ma Vie De Courgette de Claude Barras,2015,Claude Barras,4.4,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=236415.html
Ratatouille de Brad Bird,2007,Brad Bird,4.5,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=46211.html
Mon voisin Totoro de Hayao Miyazaki,1988,Hayao Miyazaki,4.4,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=14790.html
La Trilogie Marseillaise de Marcel Pagnol : Marius de Alexander Korda et Marcel Pagnol,1931,Alexander Korda,4.3,,https://www.allocine.fr/film/fichefilm_gen_cfilm=4670.html
Scarface de Brian De Palma,1983,Brian De Palma,3.9,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=900.html
Le Château dans le ciel de Hayao Miyazaki,1986,Hayao Miyazaki,5.0,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=40133.html
12 Years a Slave de Steve McQueen (II),2013,Steve McQueen (II),4.2,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=196885.html
Le Garçon et la Bête de Mamoru Hosoda,2015,Mamoru Hosoda,4.0,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=236155.html
La Nuit du chasseur de Charles Laughton,1955,Charles Laughton,5.0,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=4963.html
Avatar de James Cameron,2009,James Cameron,4.3,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=61282.html
Les Graines du figuier sauvage de Mohammad Rasoulof,2024,Mohammad Rasoulof,4.4,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=1000001702.html
Voyage à Tokyo de Yasujirô Ozu,1953,Yasujirô Ozu,4.8,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=986.html
Capharnaüm de Nadine Labaki,2018,Nadine Labaki,3.0,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=251090.html
Citizen Kane de Orson Welles,1941,Orson Welles,4.8,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=857.html
The Dark Knight Rises de Christopher Nolan,2012,Christopher Nolan,3.6,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=132874.html
Avengers: Infinity War de Joe Russo et Anthony Russo,2018,Joe Russo,3.4,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=218265.html
Casino de Martin Scorsese,1995,Martin Scorsese,4.4,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=14178.html
Heat de Michael Mann,1995,Michael Mann,3.2,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=14046.html
Incendies de Denis Villeneuve,2011,Denis Villeneuve,3.8,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=179349.html
Assurance sur la mort de Billy Wilder,1944,Billy Wilder,4.6,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=105.html
Léon de Luc Besson,1994,Luc Besson,2.0,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=9684.html
Bohemian Rhapsody de Bryan Singer,2018,Bryan Singer,3.0,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=185719.html
