titre,url,source,date_publi,resume,score_alerte
"« Se connecter avec ChatGPT » : OpenAI lance une alternative à la création de comptes avec Apple, Google, et Facebook",https://www.01net.com/actualites/connecter-chatgpt-openai-lance-alternative-creation-comptes-apple-google-facebook.html,www.01net.com,"Thu, 30 Jul 2026 13:29:20 +0000","OpenAI introduit l'option « Se connecter avec ChatGPT » pour simplifier la création de comptes en ligne. Cette fonctionnalité est, pour l'instant, réservée à certains de ses partenaires, comme GitLab et Notion. Peu à peu, un compte ChatGPT devient une carte d'identité numérique.",1
Une « famille d’appareils » ChatGPT : OpenAI évoque l’avenir de son intelligence artificielle,https://www.01net.com/actualites/famille-appareils-chatgpt-openai-evoque-avenir-intelligence-artificielle.html,www.01net.com,"Thu, 30 Jul 2026 11:45:13 +0000","OpenAI prépare un nouvel appareil qui pourrait changer notre manière d’utiliser ChatGPT. Très ambitieuse, la start-up planche même sur une famille complète d'appareils qui permettront de communiquer avec l'IA. Cette « famille d'appareils » représente l'avenir de ChatGPT, estime OpenAI.",1
Panne en orbite : le satellite censé sauver un télescope de la NASA est en danger,https://www.01net.com/actualites/satellite-cense-empecher-telescope-nasa-retomber-terre-difficulte.html,www.01net.com,"Thu, 30 Jul 2026 10:53:00 +0000","Le véhicule spatial LINK, chargé de sauver le télescope Swift de la NASA, rencontre de sérieux problèmes. L’équipe chargée de mener à bien la mission devra revoir ses plans si la situation est reprise en main.",1
510 km d’autonomie pour moins de 20 000 € : voilà la citadine chinoise qui va faire trembler l’Europe,https://www.01net.com/actualites/510-km-autonomie-moins-20-000-e-nouvelle-citadine-chinoise-arrive-europe-avec-stellantis.html,www.01net.com,"Thu, 30 Jul 2026 10:37:53 +0000","Leapmotor lance en Chine la citadine électrique A05. Véhicule de conquête mondiale, cette petite voiture proposant jusqu’à 510 km d’autonomie débarquera ensuite chez nous à prix réduit sous le nom de B03. De quoi secouer une fois encore le marché ?",1
"Un « risque de cybersécurité » : les Etats-Unis interdisent tous les robots étrangers, y compris les aspirateurs robots",https://www.01net.com/actualites/risque-cybersecurite-etats-unis-interdisent-tous-robots-etrangers-compris-aspirateurs-robots.html,www.01net.com,"Thu, 30 Jul 2026 08:00:48 +0000","Robots humanoïdes, aspirateurs connectés, tondeuses autonomes… Les États-Unis viennent de fermer la porte à des milliers d'appareils fabriqués à l'étranger. Washington estime que ces appareils représentent une menace pour la sécurité nationale. Sans surprise, la mesure vise essentiellement les engin",1
iOS 27 pourra enfin cacher ce bouton que vous activez accidentellement dans Messages,https://www.01net.com/actualites/ios-27-pourra-enfin-cacher-ce-bouton-que-vous-activez-accidentellement-dans-messages.html,www.01net.com,"Thu, 30 Jul 2026 07:16:01 +0000",La prochaine mise à jour majeure d’iOS va introduire un nouveau paramètre pour cacher le bouton d'enregistrement de message vocal sur lequel vous appuyez sans le vouloir dans l’application Messages.,1
Moins de 15 000 € et 200 km d’autonomie : voici la version de série du Dacia Hipster !,https://www.01net.com/actualites/moins-15-000-e-200-km-autonomie-voici-version-serie-dacia-hipster.html,www.01net.com,"Thu, 30 Jul 2026 05:33:31 +0000","Dacia compte enrichir sa gamme vers le bas avec l’Hipster, un mini crossover électrique qui se positionnera sous la Spring. Si le véhicule ne s’est montré que sous la forme d’un concept, des brevets révèlent sa version de série, peu éloignée de l’étude de style.",1
Coup de tonnerre : les rois de l’IA demandent à être encadrés,https://www.01net.com/actualites/coup-de-tonnerre-les-rois-de-lia-demandent-a-etre-encadres.html,www.01net.com,"Wed, 29 Jul 2026 14:56:42 +0000","Plus de 1 100 salariés d'OpenAI, d'Anthropic, de Google DeepMind et de Meta ont signé mardi le même texte. Leur demande : que quelqu'un fabrique la pédale de frein qu'aucun d'entre eux n'a le droit d'actionner.",1
"Le futur patron d’Apple a une priorité, et ce n’est pas l’iPhone",https://www.01net.com/actualites/le-futur-patron-dapple-a-une-priorite-et-ce-nest-pas-liphone.html,www.01net.com,"Wed, 29 Jul 2026 14:19:36 +0000","John Ternus prend les commandes d'Apple le 1er septembre. Pour sa première déclaration publique de futur patron, l'homme du hardwarel a choisi son sujet : les séries télé. Sous l'œil de Tim Cook, qui surveillait la copie.",1
Bouygues Telecom a une bonne et une mauvaise nouvelle pour ses clients,https://www.01net.com/actualites/bouygues-telecom-a-une-bonne-et-une-mauvaise-nouvelle-pour-ses-clients.html,www.01net.com,"Wed, 29 Jul 2026 13:29:11 +0000",Bouygues Telecom impose désormais des frais de résiliation à l’ensemble de ses forfaits mobiles sans engagement. Mais cette mauvaise nouvelle s’accompagne d’une bonne nouvelle avec le lancement de la garantie « Certifié moins cher ou remboursé ».,1
